state	position	db_id	title	type	link
before	1	7090	Home	post_type	https://www.offkilter.tv/
before	2	8123	Explore	custom	https://www.offkilter.tv/trending/
before	3	1086	Creator Directory	post_type	https://www.offkilter.tv/member-list/
before	4	7743	Community	post_type	https://www.offkilter.tv/community/
before	5	8116	Arcana	taxonomy	https://www.offkilter.tv/video-category/arcana/
before	6	8117	Premonitions	taxonomy	https://www.offkilter.tv/video-category/arcana/premonitions/
before	7	8118	Outcomes	taxonomy	https://www.offkilter.tv/video-category/arcana/outcomes/
before	8	74	Creators	custom	https://www.offkilter.tv/channel/
before	9	3689	Watch	custom	https://www.offkilter.tv/video/
after	1	7090	Home	post_type	https://www.offkilter.tv/
after	2	3689	Watch	custom	https://www.offkilter.tv/video/
after	3	74	Creators	custom	https://www.offkilter.tv/member-list/
after	4	7743	Community	post_type	https://www.offkilter.tv/community/
after	5	8116	Arcana	taxonomy	https://www.offkilter.tv/video-category/arcana/
after	6	8123	Explore	custom	https://www.offkilter.tv/trending/
after	7	8117	Premonitions	taxonomy	https://www.offkilter.tv/video-category/arcana/premonitions/
after	8	8118	Outcomes	taxonomy	https://www.offkilter.tv/video-category/arcana/outcomes/
